Miejscowość;Ulica;Zużycie;Liczba osób;Średnie miesięczne zużycie
BABICE NOWE;DĄBKOWSKIEGO	;129;2;5,38
BABICE NOWE;DOBRZAŃSKIEGO	;583;3;16,19
BABICE NOWE;DOBRZAŃSKIEGO	;190;4;3,96
BABICE NOWE;DOBRZAŃSKIEGO	;167;4;3,48
BABICE NOWE;DOBRZAŃSKIEGO	;62;2;2,58
BABICE NOWE;DOLNA	;195;1;16,25
BABICE NOWE;DOLNA	;180;1;15,00
BABICE NOWE;DOLNA	;180;1;15,00
BABICE NOWE;DOLNA	;206;2;14,71
BABICE NOWE;DOLNA	;;3;
BABICE NOWE;DOLNA	;;5;
BABICE NOWE;DOLNA	;25;4;1,56
BABICE NOWE;DOLNA	;;4;
BABICE NOWE;DOLNA	;3;1;0,75
BABICE NOWE;DOLNA	;70;4;4,38
BABICE NOWE;DOLNA	;161;2;6,71
BABICE NOWE;DOLNA	;144;2;6,00
BABICE NOWE;DOLNA	;199;3;5,53
BABICE NOWE;DOLNA	;167;3;4,64
BABICE NOWE;DOLNA	;202;4;4,21
BABICE NOWE;DOLNA	;96;2;4,00
BABICE NOWE;DOLNA	;46;1;3,83
BABICE NOWE;DOLNA	;40;1;3,33
BABICE NOWE;DOLNA	;76;2;3,17
BABICE NOWE;DOLNA	;109;3;3,03
BABICE NOWE;DOLNA	;171;5;2,85
BABICE NOWE;DOLNA	;87;3;2,42
BABICE NOWE;DOLNA	;54;5;0,90
BABICE NOWE;DOLNA	;12;4;0,25
BABICE NOWE;DOLNA	;-10;2;-0,42
BABICE NOWE;KAMERALNA;11439;187;30,59
BABICE NOWE;KAMERALNA;;26;0,00
BABICE NOWE;KRESOWA	;428;2;17,83
BABICE NOWE;KRESOWA	;311;2;12,96
BABICE NOWE;KRESOWA	;851;6;12,89
BABICE NOWE;KRESOWA	;180;2;7,50
BABICE NOWE;KRESOWA	;154;2;6,42
BABICE NOWE;KRESOWA	;66;1;6,00
BABICE NOWE;KRESOWA	;130;2;5,42
BABICE NOWE;KRESOWA	;62;1;5,17
BABICE NOWE;KRESOWA	;180;3;5,00
BABICE NOWE;KRESOWA	;164;3;4,56
BABICE NOWE;KRESOWA	;97;2;4,04
BABICE NOWE;KRESOWA	;91;2;3,79
BABICE NOWE;KRESOWA	;126;3;3,50
BABICE NOWE;KRESOWA	;154;4;3,21
BABICE NOWE;KRESOWA	;182;5;3,03
BABICE NOWE;KRESOWA	;71;2;2,96
BABICE NOWE;KRESOWA	;67;2;2,79
BABICE NOWE;KRESOWA	;159;5;2,65
BABICE NOWE;KRESOWA	;63;2;2,63
BABICE NOWE;KRESOWA	;87;3;2,42
BABICE NOWE;KRESOWA	;54;2;2,25
BABICE NOWE;KRESOWA	;43;2;1,79
BABICE NOWE;KRESOWA	;121;6;1,68
BABICE NOWE;KRESOWA	;34;2;1,42
BABICE NOWE;KRESOWA	;77;5;1,28
BABICE NOWE;KRESOWA	;63;6;0,88
BABICE NOWE;KRESOWA	;13;2;0,54
BABICE NOWE;KRESOWA	;4;1;0,33
BABICE NOWE;MIŁA	;215;2;8,96
BABICE NOWE;MIŁA	;264;4;5,50
BABICE NOWE;MIŁA	;159;3;4,42
BABICE NOWE;MIŁA	;93;2;3,88
BABICE NOWE;MIŁA	;179;4;3,73
BABICE NOWE;MIŁA	;131;3;3,64
BABICE NOWE;MIŁA	;85,03;2;3,54
BABICE NOWE;MIŁA	;161;4;3,35
BABICE NOWE;MIŁA	;105;3;2,92
BABICE NOWE;MIŁA	;27;1;2,25
BABICE NOWE;MIŁA	;26;4;0,54
BABICE NOWE;OGRODNICZA	;255;4;21,25
BABICE NOWE;OGRODNICZA	;214;1;17,83
BABICE NOWE;OGRODNICZA	;83;1;9,22
BABICE NOWE;OGRODNICZA	;409;4;8,52
BABICE NOWE;OGRODNICZA	;97;1;8,08
BABICE NOWE;OGRODNICZA	;62;1;7,75
BABICE NOWE;OGRODNICZA	;177;2;7,38
BABICE NOWE;OGRODNICZA	;172;2;7,17
BABICE NOWE;OGRODNICZA	;240;3;6,67
BABICE NOWE;OGRODNICZA	;158;2;6,58
BABICE NOWE;OGRODNICZA	;91;2;6,50
BABICE NOWE;OGRODNICZA	;221;3;6,14
BABICE NOWE;OGRODNICZA	;157;3;5,81
BABICE NOWE;OGRODNICZA	;136;2;5,67
BABICE NOWE;OGRODNICZA	;66;1;5,50
BABICE NOWE;OGRODNICZA	;245;5;5,44
BABICE NOWE;OGRODNICZA	;62;1;5,17
BABICE NOWE;OGRODNICZA	;305;5;5,08
BABICE NOWE;OGRODNICZA	;118;2;4,92
BABICE NOWE;OGRODNICZA	;295;5;4,92
BABICE NOWE;OGRODNICZA	;174;3;4,83
BABICE NOWE;OGRODNICZA	;279;5;4,65
BABICE NOWE;OGRODNICZA	;206;4;4,29
BABICE NOWE;OGRODNICZA	;100;2;4,17
BABICE NOWE;OGRODNICZA	;190;4;3,96
BABICE NOWE;OGRODNICZA	;139;3;3,86
BABICE NOWE;OGRODNICZA	;180;4;3,75
BABICE NOWE;OGRODNICZA	;131;3;3,64
BABICE NOWE;OGRODNICZA	;25;1;3,57
BABICE NOWE;OGRODNICZA	;41;1;3,42
BABICE NOWE;OGRODNICZA	;7414,41;183;3,38
BABICE NOWE;OGRODNICZA	;18;1;1,50
BABICE NOWE;OGRODNICZA	;262;4;5,46
BABICE NOWE;OGRODNICZA	;138;2;5,75
BABICE NOWE;OGRODNICZA	;;4;0,00
BABICE NOWE;OGRODNICZA	;75;2;3,13
BABICE NOWE;OGRODNICZA	;176;5;2,93
BABICE NOWE;OGRODNICZA	;138;4;2,88
BABICE NOWE;OGRODNICZA	;67;2;2,79
BABICE NOWE;OGRODNICZA	;124;4;2,58
BABICE NOWE;OGRODNICZA	;93;3;2,58
BABICE NOWE;OGRODNICZA	;162;6;2,25
BABICE NOWE;OGRODNICZA	;91;4;1,90
BABICE NOWE;OGRODNICZA	;86;4;1,79
BABICE NOWE;OGRODNICZA	;63;3;1,75
BABICE NOWE;OGRODNICZA	;41;2;1,71
BABICE NOWE;OGRODNICZA	;39;2;1,63
BABICE NOWE;OGRODNICZA	;15;1;1,25
BABICE NOWE;OGRODNICZA	;14;1;1,17
BABICE NOWE;OGRODNICZA	;66;5;1,10
BABICE NOWE;OGRODNICZA	;7;4;0,15
BABICE NOWE;OKULICKIEGO	;73;1;18,25
BABICE NOWE;OKULICKIEGO	;144;4;3,00
BABICE NOWE;OKULICKIEGO	;52;2;2,17
BABICE NOWE;OKULICKIEGO	;188;3;31,33
BABICE NOWE;OKULICKIEGO	;125;2;5,21
BABICE NOWE;OKULICKIEGO	;49;1;4,08
BABICE NOWE;OKULICKIEGO	;82;3;2,28
BABICE NOWE;OKULICKIEGO	;78;3;2,17
BABICE NOWE;OKULICKIEGO	;14;2;0,58
BABICE NOWE;OKULICKIEGO	;22;4;0,46
BABICE NOWE;OŻAROWSKA	;107;3;11,89
BABICE NOWE;OŻAROWSKA	;132;3;3,67
BABICE NOWE;OŻAROWSKA	;58;1;4,83
BABICE NOWE;OŻAROWSKA	;81;2;3,38
BABICE NOWE;OŻAROWSKA	;81;3;2,25
BABICE NOWE;OŻAROWSKA	;48;2;2,00
BABICE NOWE;OŻAROWSKA	;46;2;1,92
BABICE NOWE;PIŁSUDSKIEGO	;593;1;49,42
BABICE NOWE;RUBINOWA;207;1;17,25
BABICE NOWE;RUBINOWA;85;2;14,17
BABICE NOWE;RUBINOWA;155;1;12,92
BABICE NOWE;RUBINOWA;263;3;7,31
BABICE NOWE;RUBINOWA;244;3;6,78
BABICE NOWE;RUBINOWA;133;2;5,54
BABICE NOWE;RUBINOWA;199;3;5,53
BABICE NOWE;RUBINOWA;132;2;5,50
BABICE NOWE;RUBINOWA;125;2;5,21
BABICE NOWE;RUBINOWA;169;3;4,69
BABICE NOWE;RUBINOWA;196;4;4,08
BABICE NOWE;RUBINOWA;95;2;3,96
BABICE NOWE;RUBINOWA;131;3;3,64
BABICE NOWE;RUBINOWA;173;4;3,60
BABICE NOWE;RUBINOWA;172;4;3,58
BABICE NOWE;RUBINOWA;169;4;3,52
BABICE NOWE;RUBINOWA;126;3;3,50
BABICE NOWE;RUBINOWA;125;3;3,47
BABICE NOWE;RUBINOWA;78;2;3,25
BABICE NOWE;RUBINOWA;77;2;3,21
BABICE NOWE;RUBINOWA;154;4;3,21
BABICE NOWE;RUBINOWA;112;3;3,11
BABICE NOWE;RUBINOWA;148;4;3,08
BABICE NOWE;RUBINOWA;148;4;3,08
BABICE NOWE;RUBINOWA;178;5;2,97
BABICE NOWE;RUBINOWA;106;3;2,94
BABICE NOWE;RUBINOWA;141;4;2,94
BABICE NOWE;RUBINOWA;104;3;2,89
BABICE NOWE;RUBINOWA;138;4;2,88
BABICE NOWE;RUBINOWA;133;4;2,77
BABICE NOWE;RUBINOWA;132;4;2,75
BABICE NOWE;RUBINOWA;131;4;2,73
BABICE NOWE;RUBINOWA;95;3;2,64
BABICE NOWE;RUBINOWA;122;4;2,54
BABICE NOWE;RUBINOWA;115;4;2,40
BABICE NOWE;RUBINOWA;115;4;2,40
BABICE NOWE;RUBINOWA;94;4;2,35
BABICE NOWE;RUBINOWA;151;6;2,10
BABICE NOWE;RUBINOWA;33;4;0,69
BABICE NOWE;WARSZAWSKA	;493;3;18,26
BABICE NOWE;WARSZAWSKA	;493;4;13,69
BABICE NOWE;WARSZAWSKA	;452;3;12,56
BABICE NOWE;WARSZAWSKA	;257;2;10,71
BABICE NOWE;WARSZAWSKA	;452;5;7,53
BABICE NOWE;WARSZAWSKA	;87;1;7,25
BABICE NOWE;WARSZAWSKA	;206;3;5,72
BABICE NOWE;WARSZAWSKA	;120;2;5,00
BABICE NOWE;WARSZAWSKA	;118;2;4,92
BABICE NOWE;WARSZAWSKA	;47;1;4,27
BABICE NOWE;WARSZAWSKA	;151;3;4,19
BABICE NOWE;WARSZAWSKA	;183;4;3,81
BABICE NOWE;WARSZAWSKA	;91;2;3,79
BABICE NOWE;WARSZAWSKA	;39;1;3,25
BABICE NOWE;WARSZAWSKA	;109;3;3,03
BABICE NOWE;WARSZAWSKA	;91;3;2,53
BABICE NOWE;WARSZAWSKA	;128;5;2,13
BABICE NOWE;WARSZAWSKA	;76;3;2,11
BABICE NOWE;WARSZAWSKA	;69;3;1,92
BABICE NOWE;WARSZAWSKA	;89;4;1,85
BABICE NOWE;WARSZAWSKA	;22;1;1,83
BABICE NOWE;WARSZAWSKA	;78;4;1,63
BABICE NOWE;WIERUCHOWSKA;182;3;5,06
BABICE NOWE;WIERUCHOWSKA;108;3;3,00
BABICE NOWE;WIERUCHOWSKA;142;4;2,96
BABICE NOWE;WIERUCHOWSKA;127;4;31,75
BABICE NOWE;WIERUCHOWSKA;74;2;12,33
BABICE NOWE;WIERUCHOWSKA;137;1;11,42
BABICE NOWE;WIERUCHOWSKA;122;1;10,17
BABICE NOWE;WIERUCHOWSKA;252;3;7,00
BABICE NOWE;WIERUCHOWSKA;158;2;6,58
BABICE NOWE;WIERUCHOWSKA;77;2;6,42
BABICE NOWE;WIERUCHOWSKA;224;3;6,22
BABICE NOWE;WIERUCHOWSKA;91;3;6,07
BABICE NOWE;WIERUCHOWSKA;260;4;5,42
BABICE NOWE;WIERUCHOWSKA;54;2;5,40
BABICE NOWE;WIERUCHOWSKA;122;2;5,08
BABICE NOWE;WIERUCHOWSKA;60;3;5,00
BABICE NOWE;WIERUCHOWSKA;105;3;5,00
BABICE NOWE;WIERUCHOWSKA;42;2;4,20
BABICE NOWE;WIERUCHOWSKA;75;3;4,17
BABICE NOWE;WIERUCHOWSKA;145;3;4,03
BABICE NOWE;WIERUCHOWSKA;8;2;4,00
BABICE NOWE;WIERUCHOWSKA;137;3;3,81
BABICE NOWE;WIERUCHOWSKA;79;3;3,76
BABICE NOWE;WIERUCHOWSKA;56;3;3,73
BABICE NOWE;WIERUCHOWSKA;44;1;3,67
BABICE NOWE;WIERUCHOWSKA;44;1;3,67
BABICE NOWE;WIERUCHOWSKA;87;2;3,63
BABICE NOWE;WIERUCHOWSKA;101;4;3,61
BABICE NOWE;WIERUCHOWSKA;43;4;3,58
BABICE NOWE;WIERUCHOWSKA;81;3;3,38
BABICE NOWE;WIERUCHOWSKA;30;3;3,33
BABICE NOWE;WIERUCHOWSKA;39;1;3,25
BABICE NOWE;WIERUCHOWSKA;39;1;3,25
BABICE NOWE;WIERUCHOWSKA;122;4;3,05
BABICE NOWE;WIERUCHOWSKA;48;4;3,00
BABICE NOWE;WIERUCHOWSKA;36;2;3,00
BABICE NOWE;WIERUCHOWSKA;87;5;2,90
BABICE NOWE;WIERUCHOWSKA;103;4;2,86
BABICE NOWE;WIERUCHOWSKA;162;5;2,70
BABICE NOWE;WIERUCHOWSKA;97;4;2,69
BABICE NOWE;WIERUCHOWSKA;92;3;2,56
BABICE NOWE;WIERUCHOWSKA;37;3;2,47
BABICE NOWE;WIERUCHOWSKA;39;4;2,44
BABICE NOWE;WIERUCHOWSKA;29;4;2,42
BABICE NOWE;WIERUCHOWSKA;112;4;2,33
BABICE NOWE;WIERUCHOWSKA;37;4;2,31
BABICE NOWE;WIERUCHOWSKA;54;2;2,25
BABICE NOWE;WIERUCHOWSKA;133;5;2,22
BABICE NOWE;WIERUCHOWSKA;43;4;2,15
BABICE NOWE;WIERUCHOWSKA;45;4;1,88
BABICE NOWE;WIERUCHOWSKA;86;4;1,79
BABICE NOWE;WIERUCHOWSKA;121;6;1,68
BABICE NOWE;WIERUCHOWSKA;28;4;1,40
BABICE NOWE;WIERUCHOWSKA;25;2;1,04
BABICE NOWE;WIERUCHOWSKA;15;4;0,94
BABICE NOWE;WIERUCHOWSKA;76;4;4,75
BABICE NOWE;WIERUCHOWSKA;25;2;3,13
BABICE NOWE;WIERUCHOWSKA;32;3;0,89
BABICE NOWE;WIERUCHOWSKA;76;3;2,11
BABICE NOWE;WIERUCHOWSKA;40;2;10,00
BABICE NOWE;WIERUCHOWSKA;12;3;0,33
BABICE NOWE;WIERUCHOWSKA;6;1;1,50
BABICE NOWE;WIERUCHOWSKA;67;4;4,19
BABICE NOWE;WIERUCHOWSKA;115;1;28,75
BABICE NOWE;WIERUCHOWSKA;12;5;0,20
BABICE NOWE;WIERUCHOWSKA;18;3;1,50
BABICE NOWE;WITOSA	;164;2;6,83
BABICE NOWE;WITOSA	;164;2;6,83
BABICE NOWE;WITOSA	;196;4;4,08
BABICE NOWE;WITOSA	;177;4;3,69
BABICE NOWE;WITOSA	;124;4;2,58
BABICE NOWE;WITOSA	;48;2;2,00
BABICE NOWE;WITOSA	;1;1;0,25
BABICE NOWE;WITOSA	;11;5;0,31
BLIZNE  ŁASZCZYŃSKIEGO	;BATALIONÓW CHŁOPSKICH	;;7;
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;712;5;11,87
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;255;2;10,63
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;212;2;8,83
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;184;2;7,67
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;90;1;7,50
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;;4;
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;71;1;5,92
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;141;2;5,88
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;130;2;5,42
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;105;2;4,38
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;203;4;4,23
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;128;4;4,00
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;128;3;3,56
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;148;4;3,08
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;111;3;3,08
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;33;1;2,75
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;96;3;2,67
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;234;8;2,44
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;113;4;2,35
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;56;2;2,33
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;26;1;2,17
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;52;2;2,17
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;72;3;2,00
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;45;2;1,88
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;22;1;1,83
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;75;4;1,56
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;37;2;1,54
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;46;3;1,28
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;10;2;0,42
BLIZNE  ŁASZCZYŃSKIEGO	;DŁUGA	;1;1;0,08
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;254;1;21,17
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;24;1;12,00
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;422;3;11,72
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;259;2;10,79
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;119;1;9,92
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;189;2;7,88
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;;1;
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;81;1;6,75
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;201;3;5,58
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;62;1;5,17
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;329;6;4,57
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;272;5;4,53
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;160;4;3,33
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;113;3;3,14
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;144;4;3,00
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;156;5;2,60
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;124;4;2,58
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;93;3;2,58
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;84;3;2,33
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;28;1;2,33
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;52;2;2,17
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;49;2;2,04
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;88;4;1,83
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;22;1;1,83
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;42;2;1,75
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;40;2;1,67
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;79;4;1,65
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;78;4;1,63
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;117;6;1,63
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;96;5;1,60
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;65;4;1,35
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;44;3;1,22
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;38;3;1,06
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;38;3;1,06
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;56;5;0,93
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;18;2;0,75
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;27;3;0,75
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;8;1;0,67
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;6;2;0,25
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;9;4;0,19
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;4;2;0,17
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;3;2;0,13
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;1;3;0,03
BLIZNE  ŁASZCZYŃSKIEGO	;FORTOWA	;-329;2;-13,71
BLIZNE  ŁASZCZYŃSKIEGO	;GOŚCINNA	;;6;
BLIZNE  ŁASZCZYŃSKIEGO	;GOŚCINNA	;;4;
BLIZNE  ŁASZCZYŃSKIEGO	;GOŚCINNA	;0;3;0,00
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;151;3;4,19
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;313;1;26,08
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;345;2;14,38
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;345;2;14,38
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;165;1;13,75
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;87;1;12,43
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;120;1;10,00
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;181;2;7,54
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;345;4;7,19
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;1034;12;7,18
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;;3;0,00
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;;1;
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;0;4;0,00
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;48;3;4,00
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;195;3;5,42
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;163;3;4,53
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;162;3;4,50
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;215;4;4,48
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;158;3;4,39
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;195;4;4,06
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;96;2;4,00
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;47;1;3,92
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;171;4;3,56
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;84;2;3,50
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;83;2;3,46
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;80;2;3,33
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;159;4;3,31
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;75;2;3,13
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;148;4;3,08
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;105;3;2,92
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;173;5;2,88
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;34;1;2,83
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;67;2;2,79
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;130;4;2,71
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;120;4;2,50
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;107;4;2,23
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;53;2;2,21
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;51;2;2,13
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;122;6;1,69
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;13;2;0,54
BLIZNE  ŁASZCZYŃSKIEGO	;GRANICZNA	;4;6;0,33
BLIZNE  ŁASZCZYŃSKIEGO	;JASNA	;79;1;6,58
BLIZNE  ŁASZCZYŃSKIEGO	;JASNA	;140;2;5,83
BLIZNE  ŁASZCZYŃSKIEGO	;JASNA	;116;2;4,83
BLIZNE  ŁASZCZYŃSKIEGO	;JASNA	;111;2;4,63
BLIZNE  ŁASZCZYŃSKIEGO	;JASNA	;108;2;4,50
BLIZNE  ŁASZCZYŃSKIEGO	;JASNA	;145;3;4,03
BLIZNE  ŁASZCZYŃSKIEGO	;JASNA	;25;1;2,08
BLIZNE  ŁASZCZYŃSKIEGO	;JASNA	;25;3;0,69
BLIZNE  ŁASZCZYŃSKIEGO	;KOŚCIUSZKI	;;1;
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;177;2;7,38
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;503;6;6,99
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;79;1;6,58
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;216;3;6,00
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;72;1;6,00
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;68;2;5,67
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;61;1;5,08
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;121;2;5,04
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;60;1;5,00
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;274;5;4,57
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;108;2;4,50
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;157;3;4,36
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;101;2;4,21
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;200;4;4,17
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;178;4;3,71
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;;1;
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;;4;
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;;3;
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;;1;
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;;1;
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;86;2;3,58
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;119;3;3,31
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;118;3;3,28
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;155;4;3,23
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;70;2;2,92
BLIZNE  ŁASZCZYŃSKIEGO	;ŁASZCZYŃSKIEGO	;70;2;2,92
